data,suma
2019-01-01,4113000
2019-01-02,7946000
2019-01-03,8346000
2019-01-04,8677000
2019-01-05,6629000
2019-01-06,4668000
2019-01-07,9211000
2019-01-08,9935000
2019-01-09,9961000
2019-01-10,10068000
2019-01-11,10287000
2019-01-12,7237000
2019-01-13,5116000
2019-01-14,10003000
2019-01-15,10316000
2019-01-16,10361000
2019-01-17,10600000
2019-01-18,11007000
2019-01-19,7858000
2019-01-20,5307000
2019-01-21,10058000
2019-01-22,10425000
2019-01-23,10395000
2019-01-24,10541000
2019-01-25,3150000
2019-01-26,6789000
2019-01-27,5219000
2019-01-28,10184000
2019-01-29,10488000
2019-01-30,10489000
2019-01-31,10491000
2019-02-01,10064000
2019-02-02,7601000
2019-02-03,5337000
2019-02-04,10014000
2019-02-05,10499000
2019-02-06,10553000
2019-02-07,10701000
2019-02-08,10546000
2019-02-09,7772000
2019-02-10,5379000
2019-02-11,10230000
2019-02-12,10574000
2019-02-13,10777000
2019-02-14,10772000
2019-02-15,10648000
2019-02-16,7619000
2019-02-17,5585000
2019-02-18,9295000
2019-02-19,9831000
2019-02-20,9840000
2019-02-21,9977000
2019-02-22,10028000
2019-02-23,7806000
2019-02-24,5592000
2019-02-25,10073000
2019-02-26,10608000
2019-02-27,10787000
2019-02-28,10826000
2019-03-01,10863000
2019-03-02,8105000
2019-03-03,5267000
2019-03-04,10355000
2019-03-05,10720000
2019-03-06,10704000
2019-03-07,10951000
2019-03-08,11020000
2019-03-09,8013000
2019-03-10,5501000
2019-03-11,10386000
2019-03-12,10367000
2019-03-13,10679000
2019-03-14,10751000
2019-03-15,10805000
2019-03-16,7814000
2019-03-17,5623000
2019-03-18,10232000
2019-03-19,10579000
2019-03-20,10386000
2019-03-21,10646000
2019-03-22,10829000
2019-03-23,8310000
2019-03-24,5790000
2019-03-25,10240000
2019-03-26,10548000
2019-03-27,10591000
2019-03-28,10792000
2019-03-29,10991000
2019-03-30,8263000
2019-03-31,5516000
2019-04-01,10195000
2019-04-02,10336000
2019-04-03,10566000
2019-04-04,10547000
2019-04-05,10676000
2019-04-06,7675000
2019-04-07,5434000
2019-04-08,9429000
2019-04-09,9728000
2019-04-10,9950000
2019-04-11,9931000
2019-04-12,9813000
2019-04-13,7697000
2019-04-14,5541000
2019-04-15,9294000
2019-04-16,9569000
2019-04-17,9701000
2019-04-18,9769000
2019-04-19,6919000
2019-04-20,7297000
2019-04-21,5033000
2019-04-22,5362000
2019-04-23,9814000
2019-04-24,10269000
2019-04-25,10603000
2019-04-26,10780000
2019-04-27,7834000
2019-04-28,5644000
2019-04-29,10185000
2019-04-30,10738000
2019-05-01,10739000
2019-05-02,10893000
2019-05-03,10799000
2019-05-04,7837000
2019-05-05,5831000
2019-05-06,5372000
2019-05-07,10365000
2019-05-08,10430000
2019-05-09,10645000
2019-05-10,10776000
2019-05-11,7585000
2019-05-12,5541000
2019-05-13,10180000
2019-05-14,10508000
2019-05-15,10591000
2019-05-16,10687000
2019-05-17,10576000
2019-05-18,7750000
2019-05-19,5430000
2019-05-20,10076000
2019-05-21,10552000
2019-05-22,10587000
2019-05-23,10593000
2019-05-24,10532000
2019-05-25,7643000
2019-05-26,5844000
2019-05-27,5747000
2019-05-28,9469000
2019-05-29,9756000
2019-05-30,9885000
2019-05-31,10055000
2019-06-01,8113000
2019-06-02,5685000
2019-06-03,10027000
2019-06-04,10248000
2019-06-05,10427000
2019-06-06,10766000
2019-06-07,10588000
2019-06-08,7921000
2019-06-09,5692000
2019-06-10,9821000
2019-06-11,10699000
2019-06-12,10695000
2019-06-13,10727000
2019-06-14,10943000
2019-06-15,8067000
2019-06-16,5672000
2019-06-17,10337000
2019-06-18,10647000
2019-06-19,10714000
2019-06-20,10884000
2019-06-21,10904000
2019-06-22,8245000
2019-06-23,5821000
2019-06-24,10184000
2019-06-25,10525000
2019-06-26,10691000
2019-06-27,10752000
2019-06-28,10781000
2019-06-29,8229000
2019-06-30,6023000
2019-07-01,10214000
2019-07-02,10661000
2019-07-03,10763000
2019-07-04,10865000
2019-07-05,10912000
2019-07-06,8505000
2019-07-07,5995000
2019-07-08,10204000
2019-07-09,10536000
2019-07-10,10582000
2019-07-11,10655000
2019-07-12,10683000
2019-07-13,8059000
2019-07-14,5773000
2019-07-15,10060000
2019-07-16,10376000
2019-07-17,10409000
2019-07-18,10351000
2019-07-19,10183000
2019-07-20,7652000
2019-07-21,5791000
2019-07-22,9468000
2019-07-23,9670000
2019-07-24,9511000
2019-07-25,9049000
2019-07-26,9473000
2019-07-27,7243000
2019-07-28,5602000
2019-07-29,9205000
2019-07-30,9237000
2019-07-31,9520000
2019-08-01,9531000
2019-08-02,9418000
2019-08-03,7527000
2019-08-04,5588000
2019-08-05,8927000
2019-08-06,9317000
2019-08-07,9397000
2019-08-08,9494000
2019-08-09,9315000
2019-08-10,7268000
2019-08-11,5552000
2019-08-12,8678000
2019-08-13,9332000
2019-08-14,8935000
2019-08-15,9644000
2019-08-16,9119000
2019-08-17,7454000
2019-08-18,5344000
2019-08-19,8839000
2019-08-20,9222000
2019-08-21,9252000
2019-08-22,9416000
2019-08-23,9208000
2019-08-24,7097000
2019-08-25,5703000
2019-08-26,5591000
2019-08-27,8725000
2019-08-28,9175000
2019-08-29,9321000
2019-08-30,9413000
2019-08-31,7308000
2019-09-01,5391000
2019-09-02,9121000
2019-09-03,9557000
2019-09-04,9945000
2019-09-05,10200000
2019-09-06,10189000
2019-09-07,7562000
2019-09-08,5479000
2019-09-09,9864000
2019-09-10,10369000
2019-09-11,10434000
2019-09-12,10602000
2019-09-13,10683000
2019-09-14,7977000
2019-09-15,5755000
2019-09-16,10189000
2019-09-17,10695000
2019-09-18,10705000
2019-09-19,10773000
2019-09-20,10842000
2019-09-21,7982000
2019-09-22,5525000
2019-09-23,10297000
2019-09-24,10505000
2019-09-25,10761000
2019-09-26,10882000
2019-09-27,10922000
2019-09-28,8072000
2019-09-29,5424000
2019-09-30,10374000
2019-10-01,10583000
2019-10-02,10945000
2019-10-03,11044000
2019-10-04,11011000
2019-10-05,8225000
2019-10-06,5736000
2019-10-07,10465000
2019-10-08,10713000
2019-10-09,10774000
2019-10-10,10975000
2019-10-11,10844000
2019-10-12,7851000
2019-10-13,5618000
2019-10-14,10324000
2019-10-15,10801000
2019-10-16,10819000
2019-10-17,10809000
2019-10-18,10775000
2019-10-19,8080000
2019-10-20,5616000
2019-10-21,9368000
2019-10-22,9874000
2019-10-23,9812000
2019-10-24,9678000
2019-10-25,10055000
2019-10-26,7680000
2019-10-27,5973000
2019-10-28,10165000
2019-10-29,10598000
2019-10-30,10783000
2019-10-31,10895000
2019-11-01,10806000
2019-11-02,7645000
2019-11-03,5674000
2019-11-04,10240000
2019-11-05,10615000
2019-11-06,10689000
2019-11-07,10797000
2019-11-08,10800000
2019-11-09,7884000
2019-11-10,5701000
2019-11-11,10290000
2019-11-12,10615000
2019-11-13,10801000
2019-11-14,10998000
2019-11-15,10859000
2019-11-16,7929000
2019-11-17,5595000
2019-11-18,10229000
2019-11-19,10578000
2019-11-20,10752000
2019-11-21,10835000
2019-11-22,10969000
2019-11-23,8213000
2019-11-24,5741000
2019-11-25,10325000
2019-11-26,10751000
2019-11-27,10866000
2019-11-28,11096000
2019-11-29,11405000
2019-11-30,8446000
2019-12-01,5891000
2019-12-02,10457000
2019-12-03,10793000
2019-12-04,10938000
2019-12-05,11143000
2019-12-06,11116000
2019-12-07,8497000
2019-12-08,5904000
2019-12-09,10547000
2019-12-10,10718000
2019-12-11,10930000
2019-12-12,10807000
2019-12-13,11038000
2019-12-14,8251000
2019-12-15,5922000
2019-12-16,10242000
2019-12-17,10464000
2019-12-18,10659000
2019-12-19,10328000
2019-12-20,10050000
2019-12-21,7427000
2019-12-22,5649000
2019-12-23,8336000
2019-12-24,6423000
2019-12-25,1000
2019-12-26,4000000
2019-12-27,6609000
2019-12-28,6400000
2019-12-29,5337000
2019-12-30,7568000
2019-12-31,7185000
